id,TOSP code,TOSP Description,TOSP table no.,TOSP Common name,Setting,Ward Type,P25 Bill,P50 Bill,P75 Bill,P25 Operation Fee,P50 Operation Fee,P75 Operation Fee,P25 Surgeon Fee,P50 Surgeon Fee,P75 Surgeon Fee,P25 Anaesthetist Fee,P50 Anaesthetist Fee,P75 Anaesthetist Fee,P25 Facility Fee,P50 Facility Fee,P75 Facility Fee,P25 Implant Fee,P50 Implant Fee,P75 Implant Fee,P25 Other Fee,P50 Other Fee,P75 Other Fee
11,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Private Hospitals/ Clinics,Day Surgery,"4,545","7,220","11,287","3,171","4,967","8,616","1,926","2,943","4,815",0,0,700,"1,234","1,526","2,758",-,-,-,"1,002","1,357","2,301"
12,SA706B,"Breast, Lumps, Imaging Guided Vacuum assisted Biopsy / Mammotome, > 1 lesions",2C,"Breast, image guided removal of growth (multiple)",Private Hospitals/ Clinics,Inpatient,"8,947","11,958","15,660","6,029","8,193","11,354","3,300","4,655","6,420",n/a,n/a,n/a,"1,824","2,465","4,808",-,-,-,"2,032","2,867","5,252"
13,SA707B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Sentinel Node Biopsy/ Axillary Node Sampling",3C,"Breast, conservation of breast, removal of cancerous growth with lymph node testing and/or removal (simple) ",Private Hospitals/ Clinics,Inpatient,"19,046","21,829","26,759","12,248","14,775","17,715","5,511","8,500","9,202","1,600","2,000","2,400","3,998","5,038","6,508",n/a,n/a,n/a,"6,158","7,414","8,958"
14,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Private Hospitals/ Clinics,Clinics,"1,700","2,696","3,119","1,000","1,552","1,819",749,"1,284","1,284",0,0,100,200,268,535,-,-,-,602,932,"1,388"
15,SA710B,"Breast, Various Lesions, Trucut Biopsy, ultrasound guided or stereotactic (single)",1B,"Breast, image guided removal of tissue with fine needle (single)",Private Hospitals/ Clinics,Day Surgery,"2,456","2,710","3,307","1,070","1,766","2,476","1,070","1,070","1,605",n/a,n/a,n/a,0,337,"1,009",-,-,-,724,"1,239","1,399"
16,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Private Hospitals/ Clinics,Day Surgery,"7,372","9,911","11,439","6,125","7,580","8,398","3,424","3,852","4,066",800,888,"1,000","1,984","2,782","3,243",-,-,-,"1,183","2,253","3,152"
17,SA712B,"Breast, Various Lesions, wire localisation, excision (single)",3A,"Breast, wire guided removal of tissue (single)",Private Hospitals/ Clinics,Inpatient,"10,057","11,605","13,531","7,322","8,127","9,370","3,638","4,033","4,815",n/a,n/a,n/a,"2,650","3,055","3,562",-,-,-,"2,104","3,167","5,042"
18,SA716S,"Soft Tissue (Lower Limb), Tumors (benign), Wide Excision Biopsy",4A,"Legs, removal of non-cancerous growth with wide margins",Private Hospitals/ Clinics,Inpatient,"10,361","11,896","17,295","7,689","9,142","11,015","3,531","4,387","6,206",888,"1,125","1,605","2,516","3,160","3,902",n/a,n/a,n/a,"2,364","3,355","4,842"
19,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Private Hospitals/ Clinics,Clinics,666,813,"1,071",350,482,642,350,450,642,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,275,327,450
20,SA800S,"Skin and Mucous Membrane, Various Lesions, Excision Biopsy",1B,"Skin, removal of tissue",Private Hospitals/ Clinics,Day Surgery,"2,649","3,873","5,442","1,831","2,942","4,206",866,"1,364","2,075",n/a,n/a,n/a,916,"1,153","1,756",n/a,n/a,n/a,596,854,995
21,SA803S,"Skin and Subcutaneous tissue(ear/nose/eyelid/face) complex lacerations, repair",3B,"Skin, repair of facial wounds (complex)",Private Hospitals/ Clinics,Inpatient,"5,071","8,143","11,698","3,210","5,667","8,986","3,210","3,745","6,420",0,0,"1,250",0,749,"1,986",n/a,n/a,n/a,"1,704","2,048","2,426"
22,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Day Surgery,"4,212","5,845","6,791","3,255","4,479","5,387","1,605","2,200","3,200",0,550,750,995,"1,428","1,850",n/a,n/a,n/a,711,"1,186","1,510"
23,SA811S,"Skin and Subcutaneous Tissue, Deep>3cm/Extensive Contaminated Wound, Debridement",2C,"Skin, removal of unhealthy tissues in a wound (>3cm)",Private Hospitals/ Clinics,Inpatient,"7,278","9,154","12,210","4,456","5,407","7,184","2,140","2,845","4,033",463,650,"1,000","1,283","1,977","2,609",n/a,n/a,n/a,"2,321","3,443","5,282"
24,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Private Hospitals/ Clinics,Day Surgery,"5,883","7,729","8,916","5,050","6,375","7,187","2,782","3,000","3,617",625,750,850,"1,436","2,293","3,020",n/a,n/a,n/a,885,"1,222","1,575"
25,SA812B,"Breast, Lump (single), Excision biopsy",2C,"Breast, removal of growth (single)",Private Hospitals/ Clinics,Inpatient,"7,363","9,125","11,143","5,396","6,671","7,869","2,800","3,210","4,000",675,750,950,"2,098","2,559","3,091",-,-,-,"1,584","2,253","3,245"
26,SA813B,"Breast, Lumps (multiple/bilateral), Excision biopsy",3A,"Breast, removal of growth (multiple or two sides)",Private Hospitals/ Clinics,Day Surgery,"8,630","10,785","12,647","7,495","8,865","10,211","3,505","4,976","5,350",750,"1,124","1,250","2,207","3,139","3,789",-,-,-,"1,200","1,690","2,251"
27,SA813B,"Breast, Lumps (multiple/bilateral), Excision biopsy",3A,"Breast, removal of growth (multiple or two sides)",Private Hospitals/ Clinics,Inpatient,"11,643","13,691","18,310","8,568","10,347","11,194","4,173","5,350","6,420",n/a,n/a,n/a,"2,773","3,643","4,429",-,-,-,"2,158","2,790","5,007"
28,SA823B,"Breast, Tumor (malignant), Wide Excision/ Lumpectomy/Segmental Mastectomy/ Partial Mastectomy, with Axillary Clearance, with/without Sentinel Node Biopsy",4B,"Breast, conservation of breast, removal of cancerous growth with removal of underarm lymph nodes",Private Hospitals/ Clinics,Inpatient,"18,889","23,423","31,562","13,014","15,791","18,242","5,350","8,500","10,000","1,605","2,000","2,500","3,646","5,477","6,579",n/a,n/a,n/a,"5,680","8,624","11,148"
29,SA824B,"Breast, Tumor (malignant), Simple Mastectomy with Axillary Clearance, with/without Sentinel Node Biopsy",5A,"Breast, removal of entire breast, removal of cancerous growth with removal of underarm lymph nodes",Private Hospitals/ Clinics,Inpatient,"17,553","21,684","26,911","12,297","15,300","18,753","5,618","8,560","10,700","1,450","2,125","2,500","4,271","4,853","6,189",-,-,-,"4,365","6,077","8,646"
30,SA827B,"Breast, Tumor (malignant), Simple Mastectomy with Sentinel Node Biopsy/ Axillary Node Sampling",4C,"Breast, removal of entire breast, removal of cancerous growth with lymph node testing and/or removal ",Private Hospitals/ Clinics,Inpatient,"19,921","22,700","26,901","14,010","15,980","17,622","6,420","8,560","9,576","1,811","2,150","2,393","4,576","5,763","6,818",n/a,n/a,n/a,"5,584","7,141","9,066"
31,SA840S,"Skin and Subcutaneous Tissue, Hematoma, Abscess/Cellulitis/Similar lesion<3cm, Saucerisation/lncision & Drainage",1A,"Skin lesion, removal of small blood clot or infected area (<3cm)",Private Hospitals/ Clinics,Clinics,563,819,"1,339",321,503,642,321,428,535,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,186,284,600
32,SA840S,"Skin and Subcutaneous Tissue, Hematoma, Abscess/Cellulitis/Similar lesion<3cm, Saucerisation/lncision & Drainage",1A,"Skin lesion, removal of small blood clot or infected area (<3cm)",Private Hospitals/ Clinics,Day Surgery,983,"1,693","4,104",375,"1,292","3,272",375,750,"1,284",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,509,638,899
33,SA841S,"Skin and Subcutaneous Tissue, Hematoma /Carbuncle Cellulitis/Similar Lesion>3cm, Saucerisation/lncision with Drainage",1B,"Skin lesion, removal of small blood clot or infected area (>3cm)",Private Hospitals/ Clinics,Clinics,793,"1,078","1,660",535,642,"1,017",375,535,984,n/a,n/a,n/a,0,104,161,-,-,-,290,390,627
34,SA841S,"Skin and Subcutaneous Tissue, Hematoma /Carbuncle Cellulitis/Similar Lesion>3cm, Saucerisation/lncision with Drainage",1B,"Skin lesion, removal of small blood clot or infected area (>3cm)",Private Hospitals/ Clinics,Day Surgery,"3,814","5,092","6,421","2,950","4,000","5,324","1,070","1,926","2,504",225,500,700,"1,020","1,503","2,351",n/a,n/a,n/a,692,858,"1,161"
35,SA841S,"Skin and Subcutaneous Tissue, Hematoma /Carbuncle Cellulitis/Similar Lesion>3cm, Saucerisation/lncision with Drainage",1B,"Skin lesion, removal of small blood clot or infected area (>3cm)",Private Hospitals/ Clinics,Inpatient,"6,460","7,832","9,764","3,805","4,574","5,645","1,605","2,140","2,791",450,600,750,"1,363","1,884","2,342",n/a,n/a,n/a,"2,043","2,850","4,451"
36,SA842S,"Skin and Subcutaneous tissue, Lacerations (deep >3cm/multiple) lacerations, repair/toilet & suture, with/without debridement",3B,"Skin, repair of wounds with or without removal of unhealthy tissues (multiple, deep)",Private Hospitals/ Clinics,Inpatient,"6,368","7,442","9,731","4,014","5,500","6,978","3,424","4,815","5,400",0,0,913,0,0,"1,565",n/a,n/a,n/a,"1,551","1,917","2,535"
37,SA843S,"Skin and Subcutaneous Tissue, Laceration (superficial) of less than 7cm, Repair",1B,"Skin, repair of superficial wounds (<7cm)",Private Hospitals/ Clinics,Inpatient,"3,152","5,042","7,002","1,284","2,616","4,964","1,070","1,800","2,675",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,"1,291","1,793","2,379"
38,SA852S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/ Scar, Excision Punch/Shave biopsy, Lesion size up to and including 15mm in diameter",1A,"Skin lesions, removal of tissue growths (<15mm)",Private Hospitals/ Clinics,Clinics,535,803,"1,220",321,428,750,321,428,749,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,212,331,444
39,SA852S,"Skin and Subcutaneous Tissue, Tumor/Cyst/Ulcer/ Scar, Excision Punch/Shave biopsy, Lesion size up to and including 15mm in diameter",1A,"Skin lesions, removal of tissue growths (<15mm)",Private Hospitals/ Clinics,Day Surgery,"2,458","3,216","4,268","1,941","2,694","3,387",856,"1,284","2,000",n/a,n/a,n/a,951,"1,146","1,619",-,-,-,556,724,899
40,SA865S,"Skin, Keratoses/Warts/Tags/Similar Lesions, Excision (not more than 5 lesions)",1B,"Skin lesions, removal of superficial growths (<5)",Private Hospitals/ Clinics,Clinics,534,724,"1,093",268,460,856,268,460,749,n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,144,334,402
41,SB700A,"Ankle, ankle fracture, Bimalleolar, ORIF",4A,"Ankle, joint fracture re-alignment and repair (conventional surgery, both sides)",Private Hospitals/ Clinics,Inpatient,"18,419","21,065","25,170","12,014","14,410","15,707","6,420","7,490","8,560","1,500","1,750","2,000","3,708","4,866","5,776",771,"1,739","3,106","3,316","4,572","7,414"
42,SB700H,"Hip/Knee, Hip/Knee Therapeutic Arthroscopy",4A,"Hip/ Knee, treatment with scope ",Private Hospitals/ Clinics,Day Surgery,"12,020","13,664","15,363","9,386","11,464","12,155","5,350","6,420","6,420","1,200","1,284","1,366","2,790","3,704","4,335",n/a,n/a,n/a,"1,264","2,106","3,207"
43,SB700H,"Hip/Knee, Hip/Knee Therapeutic Arthroscopy",4A,"Hip/ Knee, treatment with scope ",Private Hospitals/ Clinics,Inpatient,"15,483","18,919","23,942","11,979","14,039","16,021","6,420","7,490","9,095","1,500","1,873","2,140","3,659","4,570","5,434",0,0,0,"2,960","4,290","6,388"
44,SB700K,"Knee, Arthroscopy, knee ligament reconstruction (1 or more)",5C,"Knee, ligament repair with scope (single or multiple)",Private Hospitals/ Clinics,Inpatient,"22,530","24,642","28,473","14,674","16,806","20,232","7,169","8,560","10,700","1,500","2,000","2,140","4,885","5,449","7,204","1,191","3,210","5,350","2,748","3,730","5,843"
45,SB701C,"Clavicle, Clavicle Fracture, Comminuted Plating With or without Bone Grafting",4A,"Collarbone, fracture repair with plate and bone",Private Hospitals/ Clinics,Inpatient,"21,661","26,016","27,993","13,968","17,059","19,073","7,490","8,560","9,630","1,500","2,000","2,200","4,373","5,766","7,030","2,981","3,863","4,731","3,005","4,259","6,273"
46,SB701K,"Knee, Ligaments/Meniscus/Cartilage/Bone combined, Arthroscopic ACL or PCL reconstruction",5C,"Knee, repair of ligament ",Private Hospitals/ Clinics,Inpatient,"22,544","25,893","32,589","15,654","18,155","21,600","7,490","9,630","11,770","1,750","2,000","2,500","5,466","6,646","7,818","2,245","4,046","5,350","2,834","3,997","6,546"
47,SB703K,"Knee, Ligaments/Meniscus/Cartilage/Bone combined, Arthroscopic ligament reconstruction with meniscal repair",5C,"Knee, repair of ligament and meniscus",Private Hospitals/ Clinics,Inpatient,"26,070","30,312","34,149","17,851","19,968","22,998","8,560","9,630","12,840","1,873","2,140","2,500","6,025","7,405","8,753","2,830","4,572","5,773","3,011","4,204","7,089"
48,SB704K,"Knee, Ligaments/Meniscus/Cartilage/Bone combined, Arthroscopic ligament reconstruction with meniscectomy",5C,"Knee, repair of ligament and removals of meniscus",Private Hospitals/ Clinics,Inpatient,"23,796","25,827","27,940","16,737","19,524","21,463","8,560","9,844","12,840","2,000","2,408","3,000","5,504","5,843","6,762",953,"2,140","2,955","3,053","4,111","5,983"
49,SB706W,"Wrist, Distal radius fracture, Open Reduction and Internal Fixation (ORIF) (complex, with autologous bone graft)",4C,"Wrist, re-alignment and repair of fracture with bone implant (complex) (conventional surgery)",Private Hospitals/ Clinics,Inpatient,"17,419","20,641","22,586","12,057","14,462","16,681","6,420","8,560","9,630","1,500","1,605","2,000","3,674","4,642","5,480","2,042","2,515","3,745","1,902","2,591","3,512"
50,SB707S,"Shoulder, Shoulder soft tissue injury, Arthroscopic/Open Bankart or Superior Labrum from anterior to posterior (SLAP) repair",5A,"Shoulder, repair of shoulder cartilage for recurrent shoulder dislocation (conventional or keyhole surgery)",Private Hospitals/ Clinics,Inpatient,"18,069","24,984","26,606","13,522","17,634","18,911","7,169","9,630","10,700","1,550","2,070","2,500","4,836","5,398","6,355",429,"3,135","4,860","2,297","3,134","3,855"
51,SB708S,"Shoulder, Shoulder soft tissue injury, Arthroscopic/Open Bankart repair with Superior Labrum from anterior to posterior (SLAP) repair/rotator cuff repair",5B,"Shoulder, repair of shoulder muscles for recurrent shoulder dislocation (conventional or keyhole surgery)",Private Hospitals/ Clinics,Inpatient,"22,839","26,102","30,035","16,675","18,978","21,978","8,560","10,700","12,840","1,875","2,140","2,500","5,161","5,844","7,294",275,"3,317","4,511","2,627","3,343","5,167"
52,SB709H,"Hand, Flexor Tendon, Trigger Finger (single), Release",2A,"Hand, trigger finger, release of tendon (single)",Private Hospitals/ Clinics,Day Surgery,"3,072","4,280","5,174","2,612","3,506","4,388","1,605","2,400","3,210",n/a,n/a,n/a,814,994,"1,225",n/a,n/a,n/a,362,561,726
53,SB710S,"Shoulder, Shoulder soft tissue injury, Arthroscopic/Open decompression with cuff repair",5B,"Shoulder, removal of bone and/or ligament fragments with repair of shoulder muscles (conventional or keyhole surgery)",Private Hospitals/ Clinics,Inpatient,"26,437","29,004","32,471","18,939","22,078","25,479","9,630","11,256","13,696","2,140","2,568","3,000","6,362","7,652","8,812","1,469","3,207","4,280","2,666","3,590","4,935"
54,SB711S,"Shoulder, Shoulder soft tissue injury, Arthroscopic/Open decompression with cuff repair & excision of distal clavicle",5C,"Shoulder, removal of bone and/or ligament fragments with repair of shoulder muscles and partial removal of collarbone (conventional or keyhole surgery)",Private Hospitals/ Clinics,Inpatient,"25,530","31,113","34,176","17,403","20,800","22,601","8,560","10,700","12,840","2,000","2,250","2,750","6,241","7,392","8,550","1,605","4,280","5,992","3,198","4,764","7,157"
55,SB712K,"Knee, Meniscus/Cartilage ( small defects ), Open/Arthroscopic Mosaicplasty or OATS",5C,"Knee, repair of cartilage with graft (small)",Private Hospitals/ Clinics,Inpatient,"22,474","25,150","28,640","14,715","17,493","19,367","7,276","8,988","10,700","1,600","2,000","2,250","4,861","5,726","6,685",0,"2,568","4,494","3,723","5,322","6,492"
56,SB715K,"Knee, Meniscus/Cartilage, Arthroscopic meniscal repair",5A,"Knee, repair of meniscus with scope",Private Hospitals/ Clinics,Day Surgery,"14,110","17,393","20,843","11,133","13,287","14,607","6,099","6,955","9,176","1,214","1,605","2,000","2,967","3,907","4,518",n/a,n/a,n/a,"1,485","1,720","3,766"
57,SB715K,"Knee, Meniscus/Cartilage, Arthroscopic meniscal repair",5A,"Knee, repair of meniscus with scope",Private Hospitals/ Clinics,Inpatient,"16,640","20,933","25,709","13,377","15,163","17,594","6,420","8,560","9,630","1,500","1,965","2,140","3,964","4,942","6,285",0,500,"2,983","2,487","3,725","6,015"
58,SB716K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral) with augmentation, requiring extra implants or bone grafts, open/MIS/navigated",6B,"Knee, joint replacement (complex) (one side)",Private Hospitals/ Clinics,Inpatient,"30,787","34,024","41,791","16,085","19,994","23,130","7,490","10,615","12,840","1,936","2,247","2,675","5,853","7,086","8,551","5,575","6,815","8,051","6,981","7,949","12,184"
59,SB722F,"Foot, Fractures, Simple, single",3B,"Foot, repair of fractures (simple)(single)",Private Hospitals/ Clinics,Inpatient,"10,316","14,945","17,472","7,227","9,992","13,250","3,826","4,280","6,420",975,"1,110","1,500","2,432","3,814","5,886",96,524,"1,404","2,427","2,849","3,695"
60,SB727S,"Spine, Various Lesions, Decompression Laminectomy, Multiple Levels (open or MIS)",6B,"Spine, removal of bone (multiple spinal levels)",Private Hospitals/ Clinics,Inpatient,"24,839","32,967","39,861","17,003","20,608","26,346","9,630","11,770","14,766","2,325","2,675","3,500","4,816","6,442","8,846",n/a,n/a,n/a,"5,212","7,777","13,374"
61,SB729S,"Spine, Various Lesions, Decompression, Spinal Instrumentation, Multiple Levels",7B,"Spine, insertion of implants (multiple spinal levels)",Private Hospitals/ Clinics,Inpatient,"48,129","56,039","68,864","28,309","33,360","35,616","16,050","19,260","21,400","3,750","4,080","4,500","7,500","9,144","11,560","7,517","10,889","16,318","8,948","11,422","16,070"
62,SB740S,"Spine, Various lesions, Vertebroplasty or kyphoplasty, Single level",4A,"Spine, repair of fracture with bone cement (single spinal level)",Private Hospitals/ Clinics,Inpatient,"15,071","17,695","21,929","8,344","11,198","13,779","4,280","5,996","7,490","1,025","1,500","1,875","1,862","3,395","4,770",n/a,n/a,n/a,"2,321","4,453","6,940"
63,SB741S,"Spine, Various Lesions-Decompression, Interbody Fusion (circumferential fusion with instrumentation and cages) - Open or MIS or with Computer Navigation",7A,"Spine, removal of bone and insertion of implants ",Private Hospitals/ Clinics,Inpatient,"41,179","53,072","61,388","25,235","29,983","34,090","14,980","17,120","19,260","3,210","4,000","4,280","6,510","8,479","10,497","6,396","8,400","16,050","6,937","10,275","15,808"
64,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Private Hospitals/ Clinics,Inpatient,"4,309","6,156","9,302",642,"1,605","2,248",535,"1,070","1,605",n/a,n/a,n/a,0,0,519,n/a,n/a,n/a,"2,862","4,382","7,288"
65,SB800K,"Knee Ligaments, Disruption, Reconstruction and Repair",5C,"Knee, reconstruction and repair of ligaments",Private Hospitals/ Clinics,Inpatient,"24,088","27,285","32,098","16,899","18,646","20,878","8,560","10,700","12,840","2,000","2,250","2,500","5,123","6,061","6,729","1,571","3,558","6,420","2,928","3,985","5,744"
66,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Private Hospitals/ Clinics,Inpatient,"17,478","19,543","23,750","11,989","13,606","15,049","6,420","7,490","8,132","1,500","1,712","2,000","3,919","4,645","5,396",558,"1,331","2,651","2,794","4,678","7,080"
67,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Private Hospitals/ Clinics,Inpatient,"18,352","22,740","26,917","14,636","15,784","18,038","7,570","8,560","9,630","1,873","2,000","2,247","3,955","5,220","6,122",396,"2,107","3,916","2,662","3,456","5,867"
68,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Private Hospitals/ Clinics,Inpatient,"16,677","19,610","22,650","11,762","14,051","16,112","6,420","7,690","8,560","1,500","1,873","2,000","3,787","4,601","5,507","1,237","2,157","2,675","2,087","2,817","3,856"
69,SB802U,"Upper Limb, Fracture/Dislocation, Manipulation and Reduction",1B,"Arms, re-alignment of fracture and/or dislocation",Private Hospitals/ Clinics,Inpatient,"5,036","6,532","9,411","2,140","3,773","7,415","1,338","2,140","4,000",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,"1,820","2,302","3,023"
70,SB803C,"Cervical Spine, Various Lesions, Anterior Decompression and Fusion (single level)",6A,"Spine, removal of bone and fusion of cervical spine (single spinal level)",Private Hospitals/ Clinics,Inpatient,"33,559","40,316","43,406","24,827","27,659","29,946","12,840","16,025","17,120","3,000","3,611","4,000","8,079","8,754","10,748",n/a,n/a,n/a,"5,322","6,484","9,285"
71,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Private Hospitals/ Clinics,Clinics,"2,226","3,735","4,575","1,530","2,797","3,663","1,124","1,567","2,140",0,535,749,0,482,"1,070",-,-,-,428,738,"1,065"
72,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Private Hospitals/ Clinics,Day Surgery,"2,477","3,306","3,822","1,814","2,520","3,021","1,070","1,605","1,926",n/a,n/a,n/a,594,795,"1,084",-,-,-,591,754,973
73,SB804H,"Hand, Crush Injuries (complex), Wound Debridement",3C,"Hand, removal of unhealthy tissue damaged from crush injury (complex)",Private Hospitals/ Clinics,Inpatient,"7,263","9,732","11,318","4,715","6,296","8,108","2,729","3,745","4,494",n/a,n/a,n/a,"1,139","2,248","2,828",-,-,-,"2,046","2,546","3,502"
74,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Private Hospitals/ Clinics,Day Surgery,"6,546","7,666","9,556","5,075","6,049","7,736","2,140","2,996","4,280",500,750,936,"2,124","2,617","3,123",n/a,n/a,n/a,978,"1,298","1,633"
75,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Private Hospitals/ Clinics,Inpatient,"8,295","10,485","11,904","6,318","7,735","9,100","2,996","3,745","4,280",750,888,"1,070","2,503","3,056","3,625",n/a,n/a,n/a,"1,732","2,329","2,839"
76,SB808K,"Knee, Various Lesions, Meniscectomy with/without Arthroscopy",4A,"Knee, removal of meniscus (with or without scope)",Private Hospitals/ Clinics,Day Surgery,"14,073","15,185","18,723","12,106","12,906","13,427","6,420","6,955","7,490","1,500","1,625","1,750","3,838","4,184","4,447",n/a,n/a,n/a,"1,512","1,930","2,640"
